    table_name,source_rows_count,dest_rows_count,qc_status,ignore_rows_count,reason,is_phi
    DoctorFacility,52752,52752,True,0,,True
    DOCTYPES,77,77,True,0,,False
    PatientVisitProcs,687551,0,True,687551,,True
    AllocationSetRange,177,177,True,0,,True
    Appointments,4252210,0,True,4252210,,True
    ARAggregates,1082162,1082162,True,0,,True
    ChargeSets,4,4,True,0,,True
    CasesAuth,6835,6835,True,0,,True
    CasesAuthDetail,6842,6842,True,0,,True
    CasesAuthDoctor,12786383,12786383,True,0,,True
    CMSReimbursementMap,69750,69750,True,0,,True
    ContentList,12586,12586,True,0,,True
    ContentList_bak,15065,15065,True,0,,True
    County,3295,3295,True,0,,True
    COVID_CONTENTLIST,1060,1060,True,0,,True
    CPTDEPT,113,113,True,0,,True
    CQM_Map,21051,21051,True,0,,True
    CQM_Value_Set_Result_Codes,215,215,True,0,,False
    CQM_ValueSet,4452,4452,True,0,,False
    cus_CpnsIndexOverlaps,109,109,True,0,,False
    CUSTOMALLERGIES,481,481,True,0,,False
    customallergies_kbupd,690,690,True,0,,False
    DiagnosisSpecialty,6337949,6337949,True,0,,True
    CVX,142,142,True,0,,False
    DDID_RXNORM,23101,23101,True,0,,False
    DDIDUPDATE,1872,1872,True,0,,False
    DiagCMSRembMap,98064,98064,True,0,,True
    Diagnosis,120271,120271,True,0,,True
    Diagnosis_bak,120271,120271,True,0,,True
    EDIClaim,379170,0,True,379170,,True
    DOCTEMPLATE,1569,1569,True,0,,False
    EPCS_USER_DEA,73,73,True,0,,True
    Employer,1,1,True,0,,True
    ERX_DOSAGEFORM,131,131,True,0,,False
    ENCTYPE,199,199,True,0,,False
    EPCS_USER_DEA_ENROLLMENT,73,73,True,0,,True
    ExportDocumentSettings,2,2,True,0,,True
    GPIToAllergen,85,85,True,0,,False
    FORMSET,15874,15874,True,0,,True
    HOUTTEXTMS,92959,92959,True,0,,False
    HIEROBJS,4893,4893,True,0,,True
    InsSourceOfPayments,145,145,True,0,,False
    INQTYPE,5,5,True,0,,False
    InsuranceCarrierCompanyProcessing,347,347,True,0,,True
    InsuranceGroup,41,41,True,0,,True
    Language,486,486,True,0,,True
    L3FORMATS,16,16,True,0,,False
    JOBTITLE,42,42,True,0,,False
    LOCREG,22,22,True,0,,True
    MasterDiagnosis,345314,345314,True,0,,True
    Map_LoincNum_HDIDs,278,278,True,0,,False
    Map_OtherCode_HDIDs,6362,6362,True,0,,False
    MasterProcedures,20330,20330,True,0,,False
    MasterDiagnosisKeyword,14567,14567,True,0,,False
    MasterInsuranceCarriers,6513,6513,True,0,,False
    MEDINFO,50142,50142,True,0,,False
    MEDDEPT_CPI_BACKUP,19973,19973,True,0,,False
    MEDDEPT,16634,16634,True,0,,True
    MedListsEditor,132,132,True,0,,False
    Medlists_PreUpgrade,151,151,True,0,,True
    MS_DOSING_PROFILES,74720,74720,True,0,,True
    MS_DRUG_DOSING,1030921,1030921,True,0,,True
    MS_DRUG_DOSING_DELTA,43970,43970,True,0,,True
    MS_DOSING_PROFILES_DELTA,3659,3659,True,0,,True
    MS_TCRF,8931,8931,True,0,,False
    MS_MESSAGE,10757,10757,True,0,,True
    OBSHEAD,88088,88088,True,0,,True
    ORDERCODES,4496,4496,True,0,,False
    ORDER_MODIFIERS,8,8,True,0,,False
    PatientVisitDiags,767782,0,True,767782,,True
    PatientVisitPaperClaim,15798,0,True,15798,,True
    PatientVisitAttachment,1221,0,True,1221,,True
    ProblemCodeMap,117366,117366,True,0,,False
    ACTIVEMQ_MSGS,26048,26048,True,0,,False
    AllergyFix,4601,4601,True,0,,False
    ApptSearchCriteriaApptTypes,1435,1435,True,0,,True
    AUDIT_PROFILE,719183,719183,True,0,,False
    ApptTypeAssignments,4791,4791,True,0,,True
    ApptSearchCriteriaResources,2203,2203,True,0,,True
    AUCSTATUS,6,6,True,0,,True
    CDS_Parameters,1,1,True,0,,True
    CasesAttachment,234,234,True,0,,True
    DFFeeSchedule,9486,9486,True,0,,True
    CEM_TriggerStatus,4,4,True,0,,False
    Clearinghouse,5,5,True,0,,True
    cus_LockedDocuments,115,115,True,0,,True
    CriticalErrorSymbol,1,1,True,0,,False
    EDIClaimFile,97629,97629,True,0,,True
    emridcontrol,1,1,True,0,,False
    DOCVIEWS_TRACKER,3,3,True,0,,True
    FLAGTEMP,1689,1689,True,0,,False
    FeeSchedule,55,55,True,0,,True
    iLicInfo,1,1,True,0,,True
    GPICLUPD,6,6,True,0,,False
    gtRecentScheduleActivity,271398,271398,True,0,,True
    L3ATTRBIND,614,614,True,0,,False
    INETSERVICES,45,45,True,0,,False
    KDCUPDATE,13667,13667,True,0,,False
    L3DTS,115,115,True,0,,False
    L3TASKDTS,79,79,True,0,,False
    L3ATTRTYPE,153,153,True,0,,False
    LIC_HISTORY,13563,13563,True,0,,True
    L3TASKSTEP,82,82,True,0,,False
